ID,SKU,Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global","Attribute 13 name","Attribute 13 value(s)","Attribute 13 visible","Attribute 13 global","Attribute 14 name","Attribute 14 value(s)","Attribute 14 visible","Attribute 14 global","Attribute 15 name","Attribute 15 value(s)","Attribute 15 visible","Attribute 15 global","Attribute 16 name","Attribute 16 value(s)","Attribute 16 visible","Attribute 16 global","Attribute 17 name","Attribute 17 value(s)","Attribute 17 visible","Attribute 17 global","Attribute 18 name","Attribute 18 value(s)","Attribute 18 visible","Attribute 18 global","Attribute 19 name","Attribute 19 value(s)","Attribute 19 visible","Attribute 19 global","Attribute 20 name","Attribute 20 value(s)","Attribute 20 visible","Attribute 20 global"
5621,CDM-9E8B2E,"Thomastik Spirit! – Medium",Modèle,Spirit!,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,"1/2, 3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",équilibré,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,étudiant,1,1,Positionnement,entrée,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5733,CDM-0986DC,"Thomastik Spirocore",Modèle,Spirocore,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,"Profil sonore",brillant,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",long,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5550,CDM-F84A94,"Thomastik Spirocore Orchestra – Light",Modèle,"Spirocore Orchestra",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,"1/2, 3/4, 4/4",1,1,Tension,Light,1,1,"Profil sonore",brillant,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",long,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5551,CDM-8A67C8,"Thomastik Spirocore Orchestra – Medium",Modèle,"Spirocore Orchestra",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,"1/2, 1/4, 3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",long,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5552,CDM-0B5297,"Thomastik Spirocore Soloist – Medium",Modèle,"Spirocore Soloist",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,"1/2, 3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",long,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5622,CDM-8105EC,"Thomastik Superflexible – Medium",Modèle,Superflexible,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,"3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5735,CDM-6032C8,"Thomastik Superflexible – Medium",Modèle,Superflexible,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5553,CDM-3F19AE,"Thomastik Superflexible Orchestra – Medium",Modèle,"Superflexible Orchestra",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,"1/2, 3/4, 4/4",1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5822,CDM-B2A68E,"Thomastik Superflexible Soloist – Medium – 4/4",Modèle,"Superflexible Soloist",1,1,Instrument,Contrebasse,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,pur,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5930,CDM-E8D67D,"Thomastik Versum – Medium – 4/4",Modèle,Versum,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Medium,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",moyen,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5932,CDM-52D8E2,"Thomastik Versum Solo – Medium – 4/4",Modèle,"Versum Solo",1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Medium,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",moyen,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5737,CDM-6B679A,"Thomastik Vision – Medium",Modèle,Vision,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,Tension,Medium,1,1,"Profil sonore",brillant,1,1,Complexité,équilibré,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5739,CDM-D10BFF,"Thomastik Vision Solo",Modèle,"Vision Solo",1,1,Instrument,Alto,1,1,Corde,jeu,1,1,"Profil sonore",brillant,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,"Temps de rodage",court,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5934,CDM-C9EF19,"Warchal Amber – Medium – 4/4",Modèle,Amber,1,1,Instrument,Violoncelle,1,1,Corde,jeu,1,1,Taille,4/4,1,1,Tension,Medium,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",moyen,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5741,CDM-D16AA6,"Warchal Amber large",Modèle,Amber,1,1,Instrument,Alto,1,1,Corde,jeu,1,1,"Profil sonore",chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,premium,1,1,Durabilité,élevée,1,1,Stabilité,bonne,1,1,"Temps de rodage",moyen,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
