ID,SKU,Name,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 visible","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 visible","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 visible","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 visible","Attribute 10 global","Attribute 11 name","Attribute 11 value(s)","Attribute 11 visible","Attribute 11 global","Attribute 12 name","Attribute 12 value(s)","Attribute 12 visible","Attribute 12 global"
7540,CDM-BE748E,"Sourdine pour violoncelle Tourte 2 trous",Instrument,Violoncelle,1,1,Marque,Tourte,1,1,Modèle,"2 trous",1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Caoutchouc,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7542,CDM-835D1D,"Sourdine pour violoncelle Hill ébène",Instrument,Violoncelle,1,1,Marque,"W.E. Hill",1,1,Modèle,Hill,1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,Ébène,1,0,Matière,Ébène,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7543,CDM-DB16CC,"Étui de violoncelle Artist Montagnana 4/4",Instrument,Violoncelle,1,1,Marque,Artist,1,1,Modèle,Montagnana,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Blanc, Bleu, Lilas, Noir, Rouge, Turquoise",1,0,Matière,"Fibre de carbone, Cuir",1,0,Poids,"3,7 kg",1,0,Forme,"Finition 3D",1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7545,CDM-58FC8C,"Étui pour 2 archets violon/alto/violoncelle Rapsody 150",Instrument,"Violon, Alto, Violoncelle",1,1,Marque,Rapsody,1,1,Modèle,150,1,1,"Type produit","Étui pour archet",1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",2,1,0,Roulettes,,0,0,Variante,,0,0
7551,CDM-DBAE6A,"Étui de violon Rapsody rectangular CSV021 4/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,CSV021,1,1,"Type produit",Étui,1,1,Taille,"4/4, 3/4",1,1,Couleur,,0,0,Matière,,0,0,Poids,"2 kg",1,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7555,CDM-F900AC,"Étui de violon Rapsody rectangular CSV021 3/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,CSV021,1,1,"Type produit",Étui,1,1,Taille,"3/4, 4/4",1,1,Couleur,,0,0,Matière,,0,0,Poids,"2 kg",1,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7557,CDM-C36D43,"Colophane violoncelle Cecilia Rosin Sanctus",Instrument,Violoncelle,1,1,Marque,"Cecilia Rosin",1,1,Modèle,Sanctus,1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,"24,5 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7564,CDM-69C692,"Colophane alto Cecilia Rosin Sanctus",Instrument,Alto,1,1,Marque,"Cecilia Rosin",1,1,Modèle,Sanctus,1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,"24,5 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7571,CDM-473CAE,"Colophane violon Cecilia Rosin Sanctus",Instrument,Violon,1,1,Marque,"Cecilia Rosin",1,1,Modèle,Sanctus,1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,"24,5 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7578,CDM-EFF4FF,"Sourdine pour violon Ultra",Instrument,Violon,1,1,Marque,Ultra,1,1,Modèle,Ultra,1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Caoutchouc,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7580,CDM-0E5F71,"Colophane violoncelle Thomastik Ti TIVC01",Instrument,Violoncelle,1,1,Marque,Thomastik,1,1,Modèle,"Ti TIVC01",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7582,CDM-519C6F,"Colophane alto Thomastik Ti TIVA01",Instrument,Alto,1,1,Marque,Thomastik,1,1,Modèle,"Ti TIVA01",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7584,CDM-00B030,"Épaulière violon Viva La Musica Augustin Diamond 4/4",Instrument,Violon,1,1,Marque,"Viva La Musica",1,1,Modèle,"Augustin Diamond",1,1,"Type produit",Épaulière,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,"904434 g",1,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7632,CDM-85E720,"Étui de violon Rapsody rectangular City 4/4",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,City,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,"Bleu, Gris",1,0,Matière,,0,0,Poids,"1,75 kg",1,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7635,CDM-6C02C4,"Épaulière alto Viva La Musica Augustin Diamond 4/4",Instrument,Alto,1,1,Marque,"Viva La Musica",1,1,Modèle,"Augustin Diamond",1,1,"Type produit",Épaulière,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7670,CDM-21FA31,"Sourdine pour alto Ultra",Instrument,Alto,1,1,Marque,Ultra,1,1,Modèle,Ultra,1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Caoutchouc,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7672,CDM-79720E,"Nettoyant et lubrifiant pour cordes D'Addario XLR8",Instrument,,0,1,Marque,D'Addario,1,1,Modèle,XLR8,1,1,"Type produit",Entretien,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7676,CDM-CF793D,"Épaulière violon Kun Bravo",Instrument,Violon,1,1,Marque,Kun,1,1,Modèle,Bravo,1,1,"Type produit",Épaulière,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
7688,CDM-755B35,"Étui de violon Rapsody rectangular City 4/4 Purple Morado",Instrument,Violon,1,1,Marque,Rapsody,1,1,Modèle,City,1,1,"Type produit",Étui,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,,0,0,Poids,"1,75 kg",1,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7693,CDM-8F1786,"Épaulière pour violon Kun Bravo Style Icon Flowers",Instrument,Violon,1,1,Marque,Kun,1,1,Modèle,"Bravo Style Icon Flowers",1,1,"Type produit",Épaulière,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
7695,CDM-C5EBEC,"Épaulière pour violon Kun Bravo Style Icon Waves",Instrument,Violon,1,1,Marque,Kun,1,1,Modèle,"Bravo Style Icon Waves",1,1,"Type produit",Épaulière,1,1,Taille,4/4,1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
7697,CDM-37E905,"Colophane violí Thomastik Ti TIVO01",Instrument,Violon,1,1,Marque,Thomastik,1,1,Modèle,"Ti TIVO01",1,1,"Type produit",Colophane,1,1,Taille,,0,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7698,CDM-57CA83,"Sourdine pour alto WMutes Duo Pack Matte silver Plateado mate",Instrument,"Violon, Alto",1,1,Marque,WMutes,1,1,Modèle,"Duo Pack",1,1,"Type produit",Sourdine,1,1,Taille,,0,1,Couleur,,0,0,Matière,Bois,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7700,CDM-90EBE9,"Épaulière alto Kun Bravo",Instrument,Alto,1,1,Marque,Kun,1,1,Modèle,Bravo,1,1,"Type produit",Épaulière,1,1,Taille,"15""-16,5""",1,1,Couleur,,0,0,Matière,Érable,1,0,Poids,,0,0,Forme,,0,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,Forme,1,0
7704,CDM-B1424B,"Étui d’alto Rapsody Elegance rectangular 15""""-15,5""""",Instrument,"Violon, Alto",1,1,Marque,Rapsody,1,1,Modèle,Elegance,1,1,"Type produit",Étui,1,1,Taille,"15""-15,5""",1,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7708,CDM-1C6CBB,"Étui d’alto Rapsody Elegance rectangular 16"""" – 16,5""""",Instrument,"Violon, Alto",1,1,Marque,Rapsody,1,1,Modèle,Elegance,1,1,"Type produit",Étui,1,1,Taille,"16""-16,5"", 16""",1,1,Couleur,,0,0,Matière,,0,0,Poids,,0,0,Forme,Rectangulaire,1,0,"Capacité archets",,0,0,Roulettes,,0,0,Variante,,0,0
7710,CDM-4E4967,"Étui d’alto Rapsody rectangular CSL003A",Instrument,"Violon, Alto",1,1,Marque,Rapsody,1,1,Modèle,CSL003A,1,1,"Type produit",Étui,1,1,Taille,"14"", 17""",1,1,Couleur,,0,0,Matière,,0,0,Poids,"2,5 kg",1,0,Forme,"Rectangulaire, Avec poche partitions",1,0,"Capacité archets",4,1,0,Roulettes,,0,0,Variante,,0,0
