ID,SKU,Name,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global,Attribute 13 name,Attribute 13 value(s),Attribute 13 visible,Attribute 13 global,Attribute 14 name,Attribute 14 value(s),Attribute 14 visible,Attribute 14 global,Attribute 15 name,Attribute 15 value(s),Attribute 15 visible,Attribute 15 global,Attribute 16 name,Attribute 16 value(s),Attribute 16 visible,Attribute 16 global,Attribute 17 name,Attribute 17 value(s),Attribute 17 visible,Attribute 17 global,Attribute 18 name,Attribute 18 value(s),Attribute 18 visible,Attribute 18 global,Attribute 19 name,Attribute 19 value(s),Attribute 19 visible,Attribute 19 global,Attribute 20 name,Attribute 20 value(s),Attribute 20 visible,Attribute 20 global
5201,CDM-88EE63,Pirastro Wondertone 26 acier argenté – Mi – boule – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Wondertone,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,Boule,1,1,Âme,acier,1,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
5203,CDM-2E7DF8,Pirastro Wondertone 26 acier supérieur – Mi – boucle – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Wondertone,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,Boucle,1,1,Âme,acier,1,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
5205,CDM-8CDA6E,Pirastro Wondertone 26 acier supérieur – Mi – boule – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Wondertone,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,Boule,1,1,Âme,acier,1,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
5207,CDM-435C58,Thomastik Dominant – Re – Medium – aluminium,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Ré,1,1,Taille,"1/16, 1/2, 1/4, 1/8, 3/4, 4/4",1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,aluminium,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5208,CDM-AA9EF0,Thomastik Dominant – Sol – Medium,Marque,Thomastik,1,1,Modèle,Dominant,1,1,Instrument,Violon,1,1,Corde,Sol,1,1,Taille,"1/16, 1/2, 1/4, 1/8, 3/4, 4/4",1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,équilibré,1,1,Complexité,équilibré,1,1,Puissance,puissant,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,moyen,1,1
5210,CDM-ECAEF7,Pirastro Wondertone acier/aluminium – La – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Wondertone,1,1,Instrument,Violon,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,acier,1,1,Filage,aluminium,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
5212,CDM-478564,Pirastro Wondertone synthétique/aluminium– La – Medium – 4/4,Marque,Pirastro,1,1,Modèle,Wondertone,1,1,Instrument,Violon,1,1,Corde,La,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,,0,1,Âme,,0,1,Filage,aluminium,1,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,chaud,1,1,Complexité,complexe,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,soliste,1,1,Positionnement,intermédiaire,1,1,Durabilité,moyenne,1,1,Stabilité,bonne,1,1,Temps de rodage,court,1,1
5214,CDM-A609AF,Pirastro nº1 – Mi – boule – Heavy – 4/4,Marque,Pirastro,1,1,Modèle,nº1,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Heavy,1,1,Attache,Boule,1,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,Temps de rodage,court,1,1
5216,CDM-04E068,Pirastro nº1 – Mi – boucle – Medium – 4/4,Marque,Pirastro,1,1,Modèle,nº1,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,Boucle,1,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,Temps de rodage,court,1,1
5218,CDM-9539E8,Pirastro nº1 – Mi – boule – Medium – 4/4,Marque,Pirastro,1,1,Modèle,nº1,1,1,Instrument,Violon,1,1,Corde,Mi,1,1,Taille,4/4,1,1,Tension,Medium,1,1,Attache,Boule,1,1,Âme,,0,1,Filage,,0,1,Type produit,,0,1,Type pack,,0,1,Profil sonore,brillant,1,1,Complexité,pur,1,1,Puissance,modéré,1,1,Réponse,rapide,1,1,Usage,orchestre,1,1,Positionnement,entrée,1,1,Durabilité,élevée,1,1,Stabilité,excellente,1,1,Temps de rodage,court,1,1
