statut,raison,set_id,set_sku,set_titre,set_prix,set_stock,instrument,modele_reconstitue,cordes,candidat_id,candidat_sku,candidat_titre,candidat_prix,candidat_stock,ecart_prix,action_recommandee
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7719,CDM-SET-VLN-08,"Brillant focalisé — Il Cannone complet",91.02,25.000000,violon,"il cannone","Mi:CDM-175FB6 Larsen Il Cannone – Mi – Boule – Medium – 4/4 | La:CDM-66B7B2 Larsen Il Cannone – La – Medium – 4/4 | Ré:CDM-123A8F Larsen Il Cannone – Re – Medium – 4/4 | Sol:CDM-FEB6BC Larsen Il Cannone – Sol – Medium – 4/4",6074,CDM-40C917,"Larsen Il Cannone Gold – Medium – 4/4",438.29,1.000000,-347.27,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7719,CDM-SET-VLN-08,"Brillant focalisé — Il Cannone complet",91.02,25.000000,violon,"il cannone","Mi:CDM-175FB6 Larsen Il Cannone – Mi – Boule – Medium – 4/4 | La:CDM-66B7B2 Larsen Il Cannone – La – Medium – 4/4 | Ré:CDM-123A8F Larsen Il Cannone – Re – Medium – 4/4 | Sol:CDM-FEB6BC Larsen Il Cannone – Sol – Medium – 4/4",6076,CDM-47AD36,"Larsen Il Cannone Silver – Medium – 4/4",145.81,3.000000,-54.79,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7720,CDM-SET-VLN-09,"Brillant solo — Il Cannone Soloist complet",91.02,1.000000,violon,"il cannone soloist","Mi:CDM-B79D52 Larsen Il Cannone Soloist – Mi – Boule – 4/4 | La:CDM-1F6C6C Larsen Il Cannone Soloist – La – 4/4 | Ré:CDM-504EA9 Larsen Il Cannone Soloist – Re – 4/4 | Sol:CDM-7E0AA5 Larsen Il Cannone Soloist – Sol – 4/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7721,CDM-SET-VLN-10,"Chaud ancien — Eudoxa complet",128.08,1.000000,violon,eudoxa,"Mi:CDM-819071 Pirastro Eudoxa acier-aluminium – Mi – boule – Medium – 4/4 | La:CDM-0E7CBC Pirastro Eudoxa 13 1/2 – La – Medium – 4/4 | Ré:CDM-7FF174 Pirastro Eudoxa 16 3/4 – Re – Medium – 4/4 | Sol:CDM-27C980 Pirastro Eudoxa 15 3/4 – Sol – Medium – 4/4",5848,CDM-813EC0,"Pirastro Eudoxa – Boule – Medium – 4/4",128.08,4.000000,0.00,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7722,CDM-SET-VLN-11,"Chaud noble — Oliv complet",198.38,1.000000,violon,oliv,"Mi:CDM-7A2346 Pirastro Oliv acier doré – Mi – boule – Medium – 4/4 | La:CDM-438A5E Pirastro Oliv 13 1/2 boyau-aluminium – La – Medium – 4/4 | Ré:CDM-AE6840 Pirastro Oliv 13 3/4 boyau-argent – Ré – Medium-Light – 4/4 | Sol:CDM-4D36B0 Pirastro Oliv 15 1/2 boyau-argent doré – Sol – Medium-Light – 4/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7723,CDM-SET-VLN-15,"Équilibré clair — Larsen Original complet",77.95,5.000000,violon,original,"Mi:CDM-E75735 Larsen – Mi – Boule – Medium – 4/4 | La:CDM-A2E8E5 Larsen – La – acero/cromo – Medium – 4/4 | Ré:CDM-2A2082 Larsen – Re – plata – Medium – 4/4 | Sol:CDM-D34F97 Larsen – Sol – plata – Medium – 4/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7724,CDM-SET-VLN-16,"Chaud contrôlé — Tzigane complet",78.41,1.000000,violon,tzigane,"Mi:CDM-0CD067 Larsen Tzigane – Mi – Boule – Medium – 4/4 | La:CDM-55F7F1 Larsen Tzigane – La – Strong – 4/4 | Ré:CDM-D49325 Larsen Tzigane – Re – Medium – 4/4 | Sol:CDM-5566F1 Larsen Tzigane – Sol – Medium – 4/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
a_controler,"Jeu reconstitué depuis des cordes seules du même modèle, sans jeu non-SET trouvé automatiquement.",7725,CDM-SET-VLN-17,"Souplesse premium — Virtuoso complet",80.48,3.000000,violon,virtuoso,"Mi:CDM-7E1048 Larsen Virtuoso – Mi – Boule – Medium – 4/4 | La:CDM-2B1775 Larsen Virtuoso – La – Medium – 4/4 | Ré:CDM-999D91 Larsen Virtuoso – Re – Medium – 4/4 | Sol:CDM-2EBF88 Larsen Virtuoso – Sol – Medium – 4/4",,,,,,,"Vérifier manuellement si un jeu fabricant existe avec un titre atypique ou une variante à préciser."
doublon_probable,"Jeu reconstitué depuis des cordes seules du même modèle avec jeu Woo non-SET correspondant.",7726,CDM-SET-VLA-01,"Étudiant fiable — Dominant complet",131.65,3.000000,alto,dominant,"La:CDM-4DE182 Thomastik Dominant – La – Heavy | Ré:CDM-82FD57 Thomastik Dominant – Re – plata – Medium | Sol:CDM-5B4BF5 Thomastik Dominant – Sol – Heavy | Do:CDM-5D2227 Thomastik Dominant – Do – Heavy",5704,CDM-2065B3,"Thomastik Dominant – Medium",126.55,0.000000,5.10,"Masquer/dépublier le CDM-SET reconstitué et reporter ses attributs éditoriaux sur le candidat."
variante_possible,"Jeu reconstitué depuis des cordes seules du même modèle, rapproché d’une variante non-SET à préciser.",7726,CDM-SET-VLA-01,"Étudiant fiable — Dominant complet",131.65,3.000000,alto,dominant,"La:CDM-4DE182 Thomastik Dominant – La – Heavy | Ré:CDM-82FD57 Thomastik Dominant – Re – plata – Medium | Sol:CDM-5B4BF5 Thomastik Dominant – Sol – Heavy | Do:CDM-5D2227 Thomastik Dominant – Do – Heavy",5710,CDM-709A96,"Thomastik Dominant Pro – 4/4",153.31,11.000000,-21.66,"Comparer les matériaux/tension/attache avant action ; préciser le titre et la description si variante réelle."
